Data properties:

Recording date: 4/10/2014
Recording time: 10:11:21:000 (corresponds to time 0)
Study: test0
Recording: Rec 51
Recording: Rec 51
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Timestamp	FixationDuration	AoiIds	AoiNames	StimuliName	
13	233	0	Content	ScreenRec	
245	216	0	Content	ScreenRec	
461	365	0	Content	ScreenRec	
827	299	0	Content	http://localhost/vet9/AlphaReceptor0.html	
1126	199	0	Content	http://localhost/vet9/AlphaReceptor0.html	
1325	149	0	Content	http://localhost/vet9/AlphaReceptor0.html	
1475	233	0	Content	http://localhost/vet9/AlphaReceptor0.html	
1707	149	0	Content	http://localhost/vet9/AlphaReceptor0.html	
1857	183	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2040	183	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2222	233	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2455	415	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2870	266	0	Content	http://localhost/vet9/AlphaReceptor0.html	
3136	249	0	Content	http://localhost/vet9/AlphaReceptor0.html	
3385	149	0	Content	http://localhost/vet9/AlphaReceptor0.html	
3535	216	0	Content	http://localhost/vet9/AlphaReceptor0.html	
3751	233	0	Content	http://localhost/vet9/AlphaReceptor0.html	
3983	183	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4166	282	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4449	199	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4798	149	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4947	233	0	Content	http://localhost/vet9/AlphaReceptor0.html	
5180	515	0	Content	http://localhost/vet9/AlphaReceptor0.html	
5695	382	0	Content	http://localhost/vet9/AlphaReceptor0.html	
6293	648	0	Content	http://localhost/vet9/AlphaReceptor0.html	
7107	249	0	Content	http://localhost/vet9/AlphaReceptor0.html	
7356	216	0	Content	http://localhost/vet9/AlphaReceptor0.html	
7572	399	0	Content	http://localhost/vet9/AlphaReceptor0.html	
7971	249	0	Content	http://localhost/vet9/AlphaReceptor0.html	
8220	482	0	Content	http://localhost/vet9/AlphaReceptor0.html	
8702	515	0	Content	http://localhost/vet9/AlphaReceptor0.html	
9217	183	0	Content	http://localhost/vet9/AlphaReceptor0.html	
9399	149	0	Content	http://localhost/vet9/AlphaReceptor0.html	
9549	831	0	Content	http://localhost/vet9/AlphaReceptor0.html	
10380	781	0	Content	http://localhost/vet9/AlphaReceptor0.html	
11360	116	0	Content	http://localhost/vet9/AlphaReceptor0.html	
11476	282	0	Content	http://localhost/vet9/AlphaReceptor1.php	
11759	266	0	Content	http://localhost/vet9/AlphaReceptor1.php	
12024	299	0	Content	http://localhost/vet9/AlphaReceptor1.php	
12323	332	0	Content	http://localhost/vet9/AlphaReceptor1.php	
12656	183	0	Content	http://localhost/vet9/AlphaReceptor1.php	
12838	216	0	Content	http://localhost/vet9/AlphaReceptor1.php	
13054	199	0	Content	http://localhost/vet9/AlphaReceptor1.php	
13254	183	0	Content	http://localhost/vet9/AlphaReceptor1.php	
13553	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
13785	332	0	Content	http://localhost/vet9/AlphaReceptor1.php	
14118	316	0	Content	http://localhost/vet9/AlphaReceptor1.php	
14433	199	0	Content	http://localhost/vet9/AlphaReceptor1.php	
14633	282	0	Content	http://localhost/vet9/AlphaReceptor1.php	
14915	199	0	Content	http://localhost/vet9/AlphaReceptor1.php	
15114	249	0	Content	http://localhost/vet9/AlphaReceptor1.php	
15364	183	0	Content	http://localhost/vet9/AlphaReceptor1.php	
15546	199	0	Content	http://localhost/vet9/AlphaReceptor1.php	
15746	183	0	Content	http://localhost/vet9/AlphaReceptor1.php	
15929	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
16161	149	0	Content	http://localhost/vet9/AlphaReceptor1.php	
16311	216	0	Content	http://localhost/vet9/AlphaReceptor1.php	
16527	216	0	Content	http://localhost/vet9/AlphaReceptor1.php	
16743	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
16975	183	0	Content	http://localhost/vet9/AlphaReceptor1.php	
17308	382	0	Content	http://localhost/vet9/AlphaReceptor1.php	
17690	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
17922	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
18155	249	0	Content	http://localhost/vet9/AlphaReceptor1.php	
18404	283	0	Content	http://localhost/vet9/AlphaReceptor1.php	
18686	432	0	Content	http://localhost/vet9/AlphaReceptor1.php	
19118	216	0	Content	http://localhost/vet9/AlphaReceptor1.php	
19334	299	0	Content	http://localhost/vet9/AlphaReceptor1.php	
19633	216	0	Content	http://localhost/vet9/AlphaReceptor1.php	
19849	183	0	Content	http://localhost/vet9/AlphaReceptor1.php	
20032	581	0	Content	http://localhost/vet9/AlphaReceptor1.php	
20614	282	0	Content	http://localhost/vet9/AlphaReceptor1.php	
20896	565	0	Content	http://localhost/vet9/AlphaReceptor1.php	
21461	299	0	Content	http://localhost/vet9/AlphaReceptor1.php	
21760	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
21992	249	0	Content	http://localhost/vet9/AlphaReceptor1.php	
22242	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
22474	316	0	Content	http://localhost/vet9/AlphaReceptor1.php	
22790	216	0	Content	http://localhost/vet9/AlphaReceptor1.php	
23006	166	0	Content	http://localhost/vet9/AlphaReceptor1.php	
23172	266	0	Content	http://localhost/vet9/AlphaReceptor1.php	
23438	399	0	Content	http://localhost/vet9/AlphaReceptor1.php	
23837	498	0	Content	http://localhost/vet9/AlphaReceptor1.php	
24534	249	0	Content	http://localhost/vet9/AlphaReceptor1.php	
24784	432	0	Content	http://localhost/vet9/AlphaReceptor1.php	
25215	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
25448	332	0	Content	http://localhost/vet9/AlphaReceptor1.php	
25780	349	0	Content	http://localhost/vet9/AlphaReceptor1.php	
26129	316	0	Content	http://localhost/vet9/AlphaReceptor1.php	
26445	266	0	Content	http://localhost/vet9/AlphaReceptor1.php	
26711	183	0	Content	http://localhost/vet9/AlphaReceptor1.php	
26893	282	0	Content	http://localhost/vet9/AlphaReceptor1.php	
27176	199	0	Content	http://localhost/vet9/AlphaReceptor1.php	
27375	382	0	Content	http://localhost/vet9/AlphaReceptor1.php	
27907	332	0	Content	http://localhost/vet9/AlphaReceptor1.php	
28239	233	0	Content	http://localhost/vet9/AlphaReceptor1.php	
28472	382	0	Content	http://localhost/vet9/AlphaReceptor1.php	
28854	349	0	Content	http://localhost/vet9/AlphaReceptor1.php	
29419	432	0	Content	http://localhost/vet9/AlphaReceptor1.php	
29851	266	0	Content	http://localhost/vet9/AlphaReceptor1.php	
30116	382	0	Content	http://localhost/vet9/AlphaReceptor1.php	
