Data properties:

Recording date: 4/8/2014
Recording time: 11:10:39:000 (corresponds to time 0)
Study: test0
Recording: Rec 36
Recording: Rec 36
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Timestamp	FixationDuration	AoiIds	AoiNames	StimuliName	
233	532	0	Content	ScreenRec	
765	216	0	Content	ScreenRec	
1164	365	0	Content	http://localhost/vet9/AlphaReceptor0.html	
1529	216	0	Content	http://localhost/vet9/AlphaReceptor0.html	
1745	299	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2044	233	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2277	100	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2377	332	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2709	249	0	Content	http://localhost/vet9/AlphaReceptor0.html	
2958	249	0	Content	ScreenRec	
3207	100	0	Content	ScreenRec	
3473	249	0	Content	http://localhost/vet9/AlphaReceptor0.html	
3722	299	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4021	133	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4154	150	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4304	199	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4503	216	0	Content	http://localhost/vet9/AlphaReceptor0.html	
4719	282	0	Content	http://localhost/vet9/AlphaReceptor0.html	
5002	283	0	Content	http://localhost/vet9/AlphaReceptor0.html	
5284	249	0	Content	http://localhost/vet9/AlphaReceptor0.html	
5533	100	0	Content	http://localhost/vet9/AlphaReceptor0.html	
5633	349	0	Content	http://localhost/vet9/AlphaReceptor0.html	
5982	233	0	Content	http://localhost/vet9/AlphaReceptor0.html	
6214	282	0	Content	http://localhost/vet9/AlphaReceptor0.html	
6497	548	0	Content	http://localhost/vet9/AlphaReceptor0.html	
7045	199	0	Content	http://localhost/vet9/AlphaReceptor0.html	
7244	382	0	Content	http://localhost/vet9/AlphaReceptor0.html	
7626	615	0	Content	http://localhost/vet9/AlphaReceptor0.html	
8241	1180	0	Content	http://localhost/vet9/AlphaReceptor0.html	
9421	249	0	Content	http://localhost/vet9/AlphaReceptor0.html	
9670	798	0	Content	http://localhost/vet9/AlphaReceptor0.html	
